bike_name,price,city,kms_driven,owner,age,power,brand
Suzuki Duke 200,127450,Pune,86354,Fourth Owner,16,160,Suzuki
Honda Duke 200,613708,Hyderabad,84378,First Owner,16,650,Honda
Suzuki Apache RTR 160,187894,Bangalore,11853,First Owner,8,200,Suzuki
Hero Access 125,162374,Jaipur,82314,Third Owner,4,180,Hero
Bajaj Duke 200,164987,Ahmedabad,71888,Second Owner,17,200,Bajaj
TVS Access 125,335418,Lucknow,16813,Fourth Owner,13,350,TVS
Yamaha Access 125,155324,Lucknow,91508,Third Owner,10,180,Yamaha
KTM FZ S,631024,Kolkata,74147,Fourth Owner,4,650,KTM
Yamaha Shine 125cc,126111,Bangalore,39328,Fourth Owner,19,150,Yamaha
Yamaha Classic 350,144931,Jaipur,52771,Fourth Owner,1,160,Yamaha
Royal Enfield Access 125,91351,Ahmedabad,54715,Second Owner,7,110,Royal Enfield
Honda Classic 350,201127,Lucknow,4034,Third Owner,19,220,Honda
Suzuki Other Model,158600,Delhi,60318,Fourth Owner,11,180,Suzuki
Bajaj Splendor Plus,330701,Mumbai,52954,Second Owner,4,350,Bajaj
Bajaj Duke 200,131496,Bangalore,95257,Third Owner,4,150,Bajaj
Suzuki Apache RTR 160,196439,Ahmedabad,69881,Second Owner,11,220,Suzuki
Yamaha Access 125,82174,Pune,18235,First Owner,11,100,Yamaha
KTM Classic 350,164826,Ahmedabad,57188,Third Owner,6,180,KTM
Honda Apache RTR 160,321040,Chennai,60197,First Owner,17,350,Honda
Honda Splendor Plus,482794,Jaipur,28803,Second Owner,12,500,Honda
TVS Access 125,193686,Pune,92389,First Owner,7,220,TVS
Honda Other Model,136851,Delhi,69167,First Owner,5,160,Honda
Suzuki Classic 350,67135,Kolkata,81731,Fourth Owner,15,100,Suzuki
Hero Pulsar 150cc,183692,Pune,71213,Third Owner,19,220,Hero
TVS Shine 125cc,483976,Delhi,17925,Second Owner,11,500,TVS
TVS FZ S,141958,Ahmedabad,16635,Second Owner,16,160,TVS
Bajaj Classic 350,87431,Kolkata,78543,Second Owner,10,110,Bajaj
Royal Enfield Apache RTR 160,320988,Lucknow,88770,Fourth Owner,16,350,Royal Enfield
Honda Shine 125cc,178528,Hyderabad,60038,Fourth Owner,11,200,Honda
Hero Apache RTR 160,132733,Kolkata,21109,Fourth Owner,15,150,Hero
Yamaha Pulsar 150cc,203431,Lucknow,43918,Second Owner,3,220,Yamaha
TVS Splendor Plus,624617,Chennai,92780,Second Owner,5,650,TVS
Hero Access 125,127127,Ahmedabad,48689,Second Owner,11,150,Hero
Honda Apache RTR 160,85559,Kolkata,22211,First Owner,13,100,Honda
Other Access 125,626914,Delhi,23290,Third Owner,14,650,Other
Suzuki Duke 200,68683,Chennai,79103,Fourth Owner,13,100,Suzuki
Yamaha Splendor Plus,183339,Hyderabad,74824,First Owner,4,200,Yamaha
Hero Pulsar 150cc,82028,Kolkata,24071,Second Owner,10,100,Hero
KTM Splendor Plus,135181,Kolkata,20981,First Owner,9,150,KTM
TVS Duke 200,105288,Hyderabad,84408,Fourth Owner,2,125,TVS
Hero Other Model,325346,Chennai,8923,Fourth Owner,19,350,Hero
Bajaj Pulsar 150cc,119395,Ahmedabad,77554,Fourth Owner,15,150,Bajaj
TVS Duke 200,492206,Lucknow,8340,Fourth Owner,11,500,TVS
Other Other Model,127813,Chennai,47041,Fourth Owner,15,150,Other
Honda Apache RTR 160,85491,Pune,60061,Third Owner,6,100,Honda
TVS Other Model,194006,Jaipur,58083,Third Owner,12,220,TVS
Other Splendor Plus,127217,Delhi,18495,Third Owner,16,150,Other
TVS Duke 200,324801,Chennai,74190,Third Owner,14,350,TVS
Hero Classic 350,105587,Delhi,29651,Fourth Owner,10,125,Hero
Royal Enfield Other Model,648870,Mumbai,4985,Fourth Owner,4,650,Royal Enfield
TVS Apache RTR 160,113128,Kolkata,90397,Fourth Owner,18,150,TVS
KTM Classic 350,477224,Jaipur,49800,Second Owner,8,500,KTM
TVS Apache RTR 160,97297,Jaipur,81203,Second Owner,16,125,TVS
Other Access 125,152141,Kolkata,86391,Fourth Owner,14,180,Other
Hero Splendor Plus,99149,Chennai,41146,Third Owner,17,125,Hero
Suzuki Pulsar 150cc,209981,Bangalore,10475,First Owner,11,220,Suzuki
KTM Access 125,146194,Lucknow,2880,First Owner,7,150,KTM
Other Duke 200,469797,Chennai,75311,Second Owner,13,500,Other
